PLANT,COMPANY,CAPACITY,YEAR,FUEL_TYPE,CITY,STATE,LATITUDE,LONGITUDE,STATUS
PRATTVILLE MILL,INTERNATIONAL PAPER CO,40,1980,WOOD,Prattville,AL,32.51790,-86.44477,operational
SELMA (AL) MILLER,MILLER AND COMPANY INC,1.25,1985,WOOD,Selma,AL,32.49746,-87.05081,operational
SILAS,LASSITER LUMBER CO,0.83,0,WOOD,Silas,AL,31.74888,-88.28317,operational
ASHDOWN MILL,DOMTAR INC,19.50,1968,WOOD,Ashdown,AR,33.70687,-94.15276,operational
ASHDOWN MILL,DOMTAR INC,47,1979,WOOD,Ashdown,AR,33.70687,-94.15276,operational
ASHDOWN MILL,DOMTAR INC,33,1991,LIQ,Ashdown,AR,33.70687,-94.15276,operational
ASHDOWN MILL,DOMTAR INC,38,1991,LIQ,Ashdown,AR,33.70687,-94.15276,operational
CROSSETT PAPER,GEORGIA-PACIFIC CORP,20,1962,WOOD,Crossett,AR,33.16424,-92.00472,operational
CROSSETT PAPER,GEORGIA-PACIFIC CORP,25,1969,WOOD,Crossett,AR,33.16424,-92.00472,operational
CROSSETT PAPER,GEORGIA-PACIFIC CORP,30,1982,WOOD,Crossett,AR,33.16424,-92.00472,operational
FOURCHE CREEK WWTP,CITY OF LITTLE ROCK,0.50,1983,DGAS,Little Rock,AR,34.74808,-92.27828,operational
FOURCHE CREEK WWTP,CITY OF LITTLE ROCK,0.50,1983,DGAS,Little Rock,AR,34.74808,-92.27828,operational
FOURCHE CREEK WWTP,CITY OF LITTLE ROCK,0.50,1983,DGAS,Little Rock,AR,34.74808,-92.27828,operational
HARRISON FLEX,FLEX STEEL INDUSTRIES,0.38,1983,WOOD,Harrison,AR,36.28388,-93.07685,operational
LITTLE ROCK HAMLEN,JH HAMLEN & SON,0.08,0,WOOD,Little Rock,AR,34.74808,-92.27828,operational
MELBOURNE,COLORTILE MANUFACT CO,1.50,1980,WOOD,Melbourne,AR,36.06747,-91.94665,operational
MELBOURNE,COLORTILE MANUFACT CO,1.50,1980,WOOD,Melbourne,AR,36.06747,-91.94665,operational
MONTICELLO (AR),JP PRICE LUMBER CO,0.15,0,WOOD,Monticello,AR,33.61684,-91.74183,operational
PINE BLUFF MILL,INTERNATIONAL PAPER CO,40,1958,WOOD,Pine Bluff,AR,34.15389,-91.89158,operational
PINE BLUFF MILL,INTERNATIONAL PAPER CO,20,1958,WOOD,Pine Bluff,AR,34.15389,-91.89158,operational
PINE BLUFF MILL,INTERNATIONAL PAPER CO,25,1962,WOOD,Pine Bluff,AR,34.15389,-91.89158,operational
RUSSELLVILLE,RIVERSIDE FURNITURE,0.53,1987,WOOD,Russellville,AR,35.28401,-93.14524,operational
WARREN POTLATCH,POTLATCH CORP,15,1997,WOOD,Warren,AR,33.59836,-92.09167,operational
BUTTERFIELD LANDFILL,WASTE MANAGEMENT INC,0.07,2003,LGAS,Phoenix,AZ,33.45405,-112.07386,operational
27TH AVE LANDFILL,CAMBRIAN ENERGY DEVELOPMENT,1,1996,LGAS,Phoenix,AZ,33.45405,-112.07386,operational
27TH AVE LANDFILL,CAMBRIAN ENERGY DEVELOPMENT,1,1996,LGAS,Phoenix,AZ,33.45405,-112.07386,operational
27TH AVE LANDFILL,CAMBRIAN ENERGY DEVELOPMENT,1,1996,LGAS,Phoenix,AZ,33.45405,-112.07386,operational
EAST VALLEY LANDFILL,DTE ENERGY SERVICES INC,0.03,1998,LGAS,Phoenix,AZ,33.45405,-112.07386,operational
EAGAR BIOMASS,WESTERN RENEWABLE ENERGY,3,2004,WOOD,Eagar,AZ,33.91814,-109.30861,operational
TRI-CITIES LANDFILL,SALT RIVER PROJECT,0.80,2002,LGAS,Phoenix,AZ,33.45405,-112.07386,operational
TRI-CITIES LANDFILL,SALT RIVER PROJECT,0.80,2002,LGAS,Phoenix,AZ,33.45405,-112.07386,operational
TRI-CITIES LANDFILL,SALT RIVER PROJECT,0.80,2002,LGAS,Phoenix,AZ,33.45405,-112.07386,operational
TRI-CITIES LANDFILL,SALT RIVER PROJECT,0.80,2002,LGAS,Phoenix,AZ,33.45405,-112.07386,operational
TRI-CITIES LANDFILL,SALT RIVER PROJECT,0.80,2002,LGAS,Phoenix,AZ,33.45405,-112.07386,operational
TRI-CITIES LANDFILL,SALT RIVER PROJECT,0.80,2002,LGAS,Phoenix,AZ,33.45405,-112.07386,operational
TRI-CITIES LANDFILL,SALT RIVER PROJECT,0.80,2002,LGAS,Phoenix,AZ,33.45405,-112.07386,operational
WILDCAT WWTP,CITY OF FLAGSTAFF,0.75,0,DGAS,Flagstaff,AZ,35.55627,-111.60245,operational
PALMDALE WWTP,LOS ANGELES CNTY SAN DIST,0.25,2005,DGAS,Palmdale,CA,34.53037,-118.08590,operational
AES MENDOTA,AES CORP,25,1989,BIOMASS,Mendota,CA,36.64197,-120.50191,operational
AES WOODLAND (CA),AES CORP,28,1989,BIOMASS,Woodland,CA,38.70796,-121.86064,operational
ALTAMONT LANDFILL,BIO-ENERGY PARTNERS,3.30,1989,LGAS,Livermore,CA,37.56418,-121.69620,operational
ALTAMONT LANDFILL,BIO-ENERGY PARTNERS,3.30,1989,LGAS,Livermore,CA,37.56418,-121.69620,operational
AMERICAN CANYON,GAS RECOVERY SYSTEMS LLC,0.50,1985,LGAS,Livermore,CA,37.56418,-121.69620,operational
AMERICAN CANYON,GAS RECOVERY SYSTEMS LLC,0.50,1985,LGAS,Livermore,CA,37.56418,-121.69620,operational
AMERICAN CANYON,GAS RECOVERY SYSTEMS LLC,0.50,1985,LGAS,Livermore,CA,37.56418,-121.69620,operational
AMERICAN CANYON LF,NAPA-VALLEJO WASTE MGMT AUTH,0.21,2004,LGAS,Vallejo,CA,38.14075,-122.24323,operational
ANDERSON BUNYAN,PAUL BUNYAN LUMBER CO,3,1980,WOOD,Anderson,CA,40.46346,-122.30104,operational
ANDERSON FACILITY,SIERRA PACIFIC INDUSTRIES,4,1998,WOOD,Anderson,CA,40.46346,-122.30104,operational
ANDERSON ROSEBURG,ROSEBURG LUMBER,3,1980,WOOD,Anderson,CA,40.46346,-122.30104,operational
ANTIOCH MILL,LOUISIANA-PACIFIC CORP,14.50,1982,WOOD,Antioch,CA,37.99547,-121.80188,operational
ANTIOCH MILL,LOUISIANA-PACIFIC CORP,26,1985,WOOD,Antioch,CA,37.99547,-121.80188,operational
AUBERRY,AUBERRY ENERGY INC,7.50,1986,WOOD,Auberry,CA,37.08770,-119.46243,operational
AUSTIN ROAD LANDFILL,COVANTA ENERGY CORP,0.80,1985,LGAS,Stockton,CA,37.90492,-121.22427,operational
BAKERSFIELD PLES,COVANTA ENERGY CORP,1.88,1985,LGAS,Bakersfield,CA,35.38057,-119.02297,operational
BANNING WWTP,CITY OF BANNING,0.06,0,DGAS,Banning,CA,33.99039,-116.83842,operational
BENICIA WASTEWATER,CITY OF BENICIA,0.08,0,DGAS,Benicia,CA,38.07142,-122.12432,operational
BIEBER BIG VALLEY,BIG VALLEY LUMBER CO,9.40,1983,WOOD,Burney,CA,40.95678,-121.71957,operational
BKK LANDFILL,MINNESOTA METHANE LLC,5.70,1996,LGAS,West Covina,CA,34.06153,-117.94062,operational
BKK LANDFILL,MINNESOTA METHANE LLC,6.50,1996,LGAS,West Covina,CA,34.06153,-117.94062,operational
BLAKES LANDING DAIRY,STRAUS FAMILY CREAMERY,0.08,2003,DGAS,Tomales,CA,38.24695,-122.92358,operational
BRADLEY LANDFILL,WASTE MANAGEMENT INC,1.36,2003,LGAS,Sun Valley,CA,34.23542,-118.35370,operational
BRADLEY LANDFILL,WASTE MANAGEMENT INC,1.36,2003,LGAS,Sun Valley,CA,34.23542,-118.35370,operational
BRADLEY LANDFILL,WASTE MANAGEMENT INC,1.36,2003,LGAS,Sun Valley,CA,34.23542,-118.35370,operational
BRADLEY LANDFILL,WASTE MANAGEMENT INC,1.36,2003,LGAS,Sun Valley,CA,34.23542,-118.35370,operational
BRADLEY LANDFILL,WASTE MANAGEMENT INC,1.36,2003,LGAS,Sun Valley,CA,34.23542,-118.35370,operational
BURNEY FACILITY,SIERRA PACIFIC INDUSTRIES,20,1986,WOOD,Burney,CA,40.95678,-121.71957,operational
BURNEY  FOREST,NORTH AMERICAN ENERGY SVCS,31,1989,WOOD,Burney,CA,40.95678,-121.71957,operational
BURNEY MOUNTAIN,COVANTA ENERGY CORP,11.40,1985,WOOD,Burney,CA,40.95678,-121.71957,operational
BURSON,BURSON LIVESTOCK & POWER,0.09,1985,BGAS,Burson,CA,38.18355,-120.89041,operational
BUTTONWILLOW A,FARMERS COOPERATIVE GINS,1.70,1989,BIOMASS,Buttonwillow,CA,35.41529,-119.48536,operational
BYXBEE PARK LANDFILL,INTERNATIONAL POWER TECH,1.05,1990,LGAS,Palo Alto,CA,37.44467,-122.15422,operational
BYXBEE PARK LANDFILL,INTERNATIONAL POWER TECH,1.05,1990,LGAS,Palo Alto,CA,37.44467,-122.15422,operational
CAL POLY DAIRY FARM,CAL POLY UNIVERSITY,0.03,0,BGAS,San Luis Obispo,CA,35.21888,-120.61763,operational
CALABASAS LANDFILL,LOS ANGELES CNTY SAN DIST,0.30,2002,LGAS,Calabasas,CA,34.12794,-118.67888,operational
CARSON BIOGAS,WATSON BIOGAS SYSTEMS,1.70,1991,LGAS,Carson,CA,33.81547,-118.25988,operational
CARUTHERS SHARP,SHARP LEROY B,0.10,1991,LGAS,Caruthers,CA,36.53621,-119.86339,operational
CHESTER COLLINS,COLLINS PINE CO,12,1985,WOOD,Chester,CA,40.27874,-121.26019,operational
CHICO WWTP,CHICO SEWAGE DISPOSAL,0.14,1984,DGAS,Chico,CA,39.74547,-121.84742,operational
CHINESE STATION,CONSTELLATION GENERATION GROUP,25,1986,WOOD,Jamestown,CA,37.83602,-120.51393,operational
CHINO BASIN,CHINO BASIN MWD,0.58,1992,DGAS,Chino,CA,34.02587,-117.68864,operational
CHIQUITA WATER REC PLANT,CHIQUITA WATER REC PLANT,0.27,1988,DGAS,,CA,0.00000,0.00000,operational
COLMAC,COLMAC ENERGY CO,49.90,1992,WOOD,Mecca,CA,33.48521,-115.83013,operational
COMMERCE WTE,LOS ANGELES CNTY SAN DIST,11.50,1987,REF,Commerce,CA,0.00000,0.00000,operational
COTTONWOOD DAIRY,JOSEPH GALLO FARMS,0.30,2004,DGAS,Atwater,CA,37.29707,-120.68559,operational
COYOTE CANYON,GAS RECOVERY SYSTEMS LLC,17,1989,LGAS,Irvine,CA,33.75276,-117.73185,operational
CRAZY HORSE LANDFILL,COVANTA ENERGY CORP,1.40,1986,LGAS,Salinas,CA,36.66474,-121.65608,operational
DAVIS WWTP,CITY OF DAVIS,0.08,0,DGAS,Davis,CA,38.54808,-121.77834,operational
AES DELANO (CA),AES CORP,31.80,1990,BIOMASS,Delano,CA,35.76547,-119.15803,operational
AES DELANO (CA),AES CORP,25.30,1993,BIOMASS,Delano,CA,35.76547,-119.15803,operational
DELTA DIABLO,CONTRA COSTA CNTY SAN DIS,0.96,1983,LGAS,Antioch,CA,37.99547,-121.80188,operational
DIAMOND S RANCH,DIAMOND S RANCH,0.10,1984,BIOMASS,Waterford,CA,37.69735,-120.62596,operational
DUARTE LANDFILL,NEO CORP,0.58,1987,LGAS,Duarte,CA,34.13903,-117.96674,operational
DUARTE LANDFILL,NEO CORP,0.58,1987,LGAS,Duarte,CA,34.13903,-117.96674,operational
DUARTE LANDFILL,NEO CORP,0.58,1987,LGAS,Duarte,CA,34.13903,-117.96674,operational
DUARTE LANDFILL,NEO CORP,0.58,1987,LGAS,Duarte,CA,34.13903,-117.96674,operational
EL ESTERO WWTP,SANTA BARBARA PUBLIC WORKS,0.50,2005,DGAS,Santa Barbara,CA,34.42126,-119.70926,operational
EL SOBRANTE LANDFILL,WASTE MANAGEMENT INC,2.70,2003,LGAS,Corona,CA,33.84889,-117.53880,operational
EL TORO ALISO,ALISO WATER MGMT AGENCY,0.40,1997,DGAS,El Toro,CA,33.62226,-117.70212,operational
EL TORO ALISO,ALISO WATER MGMT AGENCY,0.40,1983,DGAS,El Toro,CA,33.62226,-117.70212,operational
EL TORO ALISO,ALISO WATER MGMT AGENCY,0.40,1998,DGAS,El Toro,CA,33.62226,-117.70212,operational
ESCONDIDO WWTP,ESCONDIDO UTILITIES DIVISION,0.36,2003,DGAS,Escondido,CA,33.07205,-117.02289,operational
FAIRHAVEN POWER,DG ENERGY SOLUTIONS LLC,17.25,1986,WOOD,Eureka,CA,40.79715,-124.15354,operational
FORT BRAGG SAWMILL,GEORGIA-PACIFIC CORP,5,1961,WOOD,Fort Bragg,CA,39.48050,-123.68684,operational
FORT BRAGG SAWMILL,GEORGIA-PACIFIC CORP,5,1969,WOOD,Fort Bragg,CA,39.48050,-123.68684,operational
FORT BRAGG SAWMILL,GEORGIA-PACIFIC CORP,5,1977,WOOD,Fort Bragg,CA,39.48050,-123.68684,operational
FRESNO CITY,FRESNO PUBLIC UTILITIES,1.30,1986,DGAS,Fresno,CA,36.84069,-119.79947,operational
GRANT AMEN DAIRY,GRANT AMEN DAIRY,0.07,1984,BGAS,Redding,CA,40.56939,-122.44066,operational
GUADALUPE LANDFILL,GAS RECOVERY SYSTEMS LLC,0.50,1984,LGAS,Livermore,CA,37.56418,-121.69620,operational
GUADALUPE LANDFILL,GAS RECOVERY SYSTEMS LLC,0.50,1984,LGAS,Livermore,CA,37.56418,-121.69620,operational
GUADALUPE LANDFILL,GAS RECOVERY SYSTEMS LLC,0.50,1984,LGAS,Livermore,CA,37.56418,-121.69620,operational
GUADALUPE LANDFILL,GAS RECOVERY SYSTEMS LLC,1,1987,LGAS,Livermore,CA,37.56418,-121.69620,operational
HAYWARD WASTEWATER,CITY OF HAYWARD,0.70,1983,DGAS,Hayward,CA,37.65638,-122.09691,operational
HONEY LAKE,OPERATIONAL ENERGY CORP,36,1989,WOOD,Wendel,CA,40.31276,-120.34692,operational
HUNTINGTON WWTP-2,ORANGE COUNTY SAN DIST,3,1993,DGAS,Huntington Beach,CA,33.73268,-117.99947,operational
HUNTINGTON WWTP-2,ORANGE COUNTY SAN DIST,3,1993,DGAS,Huntington Beach,CA,33.73268,-117.99947,operational
HUNTINGTON WWTP-2,ORANGE COUNTY SAN DIST,3,1993,DGAS,Huntington Beach,CA,33.73268,-117.99947,operational
HUNTINGTON WWTP-2,ORANGE COUNTY SAN DIST,3,1993,DGAS,Huntington Beach,CA,33.73268,-117.99947,operational
HUNTINGTON WWTP-2,ORANGE COUNTY SAN DIST,3,1993,DGAS,Huntington Beach,CA,33.73268,-117.99947,operational
HUNTINGTON WWTP-2,ORANGE COUNTY SAN DIST,1,1993,DGAS,Huntington Beach,CA,33.73268,-117.99947,operational
HYPERION,COMBUSTION POWER CO,3.50,1987,DGAS,Playa Del Mar,CA,0.00000,0.00000,operational
HYPERION,COMBUSTION POWER CO,3.50,1987,DGAS,Playa Del Mar,CA,0.00000,0.00000,operational
HYPERION,COMBUSTION POWER CO,3.50,1987,DGAS,Playa Del Mar,CA,0.00000,0.00000,operational
HYPERION,COMBUSTION POWER CO,3.50,1987,DGAS,Playa Del Mar,CA,0.00000,0.00000,operational
HYPERION,COMBUSTION POWER CO,11.40,1987,WSTWSL,Playa Del Mar,CA,0.00000,0.00000,operational
IEUA RP-1 WWTP,INLAND EMPIRE UTILITIES AGENCY,0.63,1993,DGAS,Ontario,CA,34.06335,-117.62068,operational
IEUA RP-1 WWTP,INLAND EMPIRE UTILITIES AGENCY,1.40,1998,DGAS,Ontario,CA,34.06335,-117.62068,operational
IEUA RP-1 WWTP,INLAND EMPIRE UTILITIES AGENCY,1.40,1998,DGAS,Ontario,CA,34.06335,-117.62068,operational
IMPERIAL BIOMASS,PRIMARY POWER INTERNATIONAL,18,1990,WOOD,Imperial,CA,32.86328,-115.58631,operational
JAMACHA LANDFILL,COUNTY OF SAN DIEGO,0.28,2001,LGAS,San Diego,CA,32.72195,-117.16112,operational
JAMACHA LANDFILL,COUNTY OF SAN DIEGO,0.28,2002,LGAS,San Diego,CA,32.72195,-117.16112,operational
LA ESTANCIA HOTEL,LA ESTANCIA HOTEL,0.01,1987,LGAS,,CA,0.00000,0.00000,operational
LANCASTER WWTP,LOS ANGELES CNTY SAN DIST,0.25,2004,DGAS,Lancaster,CA,34.74404,-118.14871,operational
LANDFILL NO 3,BURBANK WATER AND POWER,0.30,2001,LGAS,Burbank,CA,34.20226,-118.29218,operational
LANDFILL NO 3,BURBANK WATER AND POWER,0.25,2004,LGAS,Burbank,CA,34.20226,-118.29218,operational
LANGERWERF DAIRY,LANGERWERF DAIRY,0.09,1982,BGAS,Durham,CA,39.57716,-121.85359,operational
LAS GALLINAS VALLEY,LAS GALLINAS VALLEY SEWAGE,0.09,0,DGAS,San Rafael,CA,37.97554,-122.51291,operational
LINCOLN BOHEMIA,BOHEMIA INC,7.50,1986,WOOD,Lincoln,CA,38.88031,-121.32927,operational
LINCOLN FACILITY,SIERRA PACIFIC INDUSTRIES,7.50,1986,WOOD,Lincoln,CA,38.88031,-121.32927,operational
LODI (CA) LUIZ,LUIZ & SONS DAIRY INC,0.14,1985,BGAS,Lodi,CA,38.13302,-121.15254,operational
LONG BEACH (CA) P&G,PROCTER & GAMBLE,13.50,1983,WOOD,Long Beach,CA,33.77054,-118.18943,operational
LOPEZ CANYON LANDFILL,MINNESOTA METHANE LLC,1.50,2001,LGAS,Lake View Terrace,CA,0.00000,0.00000,operational
LOPEZ CANYON LANDFILL,MINNESOTA METHANE LLC,3,1998,LGAS,Lake View Terrace,CA,0.00000,0.00000,operational
LOPEZ CANYON LANDFILL,MINNESOTA METHANE LLC,3,1998,LGAS,Lake View Terrace,CA,0.00000,0.00000,operational
LOYALTON FACILITY,SIERRA PACIFIC INDUSTRIES,20,1989,WOOD,Loyalton,CA,39.67760,-120.15713,operational
M&M DAIRY,M&M DAIRY,0.06,1985,BGAS,Gonzales,CA,36.51482,-121.41440,operational
MADERA POWER,EL PASO MERCHANT ENERGY NA LP,28,1989,BIOMASS,Firebaugh,CA,36.83279,-120.61669,operational
MARINA BIOGAS,MONTEREY REGIONAL WATER PCA,0.60,1991,DGAS,Marina,CA,36.67299,-121.79054,operational
MARINA BIOGAS,MONTEREY REGIONAL WATER PCA,0.60,1991,DGAS,Marina,CA,36.67299,-121.79054,operational
MARINA BIOGAS,MONTEREY REGIONAL WATER PCA,0.60,1991,DGAS,Marina,CA,36.67299,-121.79054,operational
MARINA LANDFILL,MONTEREY REG WASTE MGMT,0.90,1997,LGAS,Marina,CA,36.67299,-121.79054,operational
MARINA LANDFILL,MONTEREY REG WASTE MGMT,0.90,1998,LGAS,Marina,CA,36.67299,-121.79054,operational
MARSH ROAD LANDFILL,GAS RECOVERY SYSTEMS LLC,0.50,1983,LGAS,Livermore,CA,37.56418,-121.69620,operational
MARSH ROAD LANDFILL,GAS RECOVERY SYSTEMS LLC,0.50,1983,LGAS,Livermore,CA,37.56418,-121.69620,operational
MARSH ROAD LANDFILL,GAS RECOVERY SYSTEMS LLC,0.50,1983,LGAS,Livermore,CA,37.56418,-121.69620,operational
MARSH ROAD LANDFILL,GAS RECOVERY SYSTEMS LLC,0.50,1983,LGAS,Livermore,CA,37.56418,-121.69620,operational
MILLBRAE WWTP,TOWN OF MILLBRAE,0.08,0,BGAS,Millbrae,CA,37.60052,-122.40259,operational
MIRAMAR NAS LANDFILL,MINNESOTA METHANE LLC,1.50,1997,LGAS,San Diego,CA,32.72195,-117.16112,operational
MIRAMAR NAS LANDFILL,MINNESOTA METHANE LLC,1.50,1997,LGAS,San Diego,CA,32.72195,-117.16112,operational
MIRAMAR NAS LANDFILL,MINNESOTA METHANE LLC,1.50,1997,LGAS,San Diego,CA,32.72195,-117.16112,operational
MIRAMAR NAS LANDFILL,MINNESOTA METHANE LLC,1.50,1997,LGAS,San Diego,CA,32.72195,-117.16112,operational
MIRAMAR NCCF LANDFILL,MINNESOTA METHANE LLC,1,1999,LGAS,Miramar,CA,0.00000,0.00000,operational
MIRAMAR NCCF LANDFILL,MINNESOTA METHANE LLC,1,1999,LGAS,Miramar,CA,0.00000,0.00000,operational
MIRAMAR NCCF LANDFILL,MINNESOTA METHANE LLC,1,1999,LGAS,Miramar,CA,0.00000,0.00000,operational
MIRAMAR NCCF LANDFILL,MINNESOTA METHANE LLC,1,1999,LGAS,Miramar,CA,0.00000,0.00000,operational
MODESTO REDWOOD FOOD,REDWOOD FOOD PKG CO,4.50,1980,BIOMASS,Modesto,CA,37.67037,-121.00735,operational
MONTEREY PARK LANDFILL,OPERATING INDUSTRIES INC,0.42,2002,LGAS,Monterey Park,CA,34.05475,-118.14759,operational
MT LASSEN,COVANTA ENERGY CORP,11.40,1985,WOOD,Westwood,CA,40.29773,-121.11276,operational
NAPA SEWAGE WORKS,NAPA SANITATION DISTRICT,0.10,1986,LGAS,Napa,CA,38.40339,-122.22965,operational
NEWBY ISLAND,GAS RECOVERY SYSTEMS LLC,0.50,1984,LGAS,Livermore,CA,37.56418,-121.69620,operational
NEWBY ISLAND,GAS RECOVERY SYSTEMS LLC,0.50,1984,LGAS,Livermore,CA,37.56418,-121.69620,operational
NEWBY ISLAND,GAS RECOVERY SYSTEMS LLC,0.50,1984,LGAS,Livermore,CA,37.56418,-121.69620,operational
NEWBY ISLAND,GAS RECOVERY SYSTEMS LLC,0.50,1984,LGAS,Livermore,CA,37.56418,-121.69620,operational
NEWBY ISLAND,GAS RECOVERY SYSTEMS LLC,1,1989,LGAS,Livermore,CA,37.56418,-121.69620,operational
NEWBY ISLAND,GAS RECOVERY SYSTEMS LLC,1,1989,LGAS,Livermore,CA,37.56418,-121.69620,operational
NEWBY ISLAND,GAS RECOVERY SYSTEMS LLC,1,1989,LGAS,Livermore,CA,37.56418,-121.69620,operational
NORTH FORK DINUBA,DINUBA TIMBER CO,6,1987,WOOD,North Fork,CA,37.30103,-119.42257,operational
OAKLAND EAST BAY,EAST BAY MUNI UTIL,4,1991,BGAS,Oakland,CA,37.77923,-122.21874,operational
OLINDA LANDFILL,RIDGEWOOD RENEWABLE POWER LLC,1.83,1984,LGAS,Brea,CA,33.92948,-117.88632,operational
OLINDA LANDFILL,RIDGEWOOD RENEWABLE POWER LLC,1.83,1984,LGAS,Brea,CA,33.92948,-117.88632,operational
OLINDA LANDFILL,RIDGEWOOD RENEWABLE POWER LLC,1.83,1984,LGAS,Brea,CA,33.92948,-117.88632,operational
ORANGE COUNTY (CA) MWD,ORANGE COUNTY MWD,0.60,1992,DGAS,,CA,0.00000,0.00000,operational
OTAY LANDFILL,COVANTA ENERGY CORP,1.90,1986,LGAS,Chula Vista,CA,32.61017,-117.06850,operational
OTAY LANDFILL,COVANTA ENERGY CORP,1.88,1991,LGAS,Chula Vista,CA,32.61017,-117.06850,operational
OXNARD GRRP,COVANTA ENERGY CORP,1.90,1985,LGAS,Oxnard,CA,34.21240,-119.18638,operational
OXNARD GRRP,COVANTA ENERGY CORP,1.90,1985,LGAS,Oxnard,CA,34.21240,-119.18638,operational
OXNARD GRRP,COVANTA ENERGY CORP,1.90,1991,LGAS,Oxnard,CA,34.21240,-119.18638,operational
OXNARD WWTP,CITY OF OXNARD,0.50,1981,DGAS,Oxnard,CA,34.21240,-119.18638,operational
